"year","month","pp","anom"
2001,3,59.3851578583,-1.40729286499386
2001,4,86.05271146078,-55.7956444291154
2001,5,550.2697953343,230.450871881107
2001,6,411.3440988,7.18700537956931
2001,7,677.70575800197,365.442762500763
2001,8,246.98796161,-26.7949572902824
2001,9,53.4584147815,-113.569714801805
2001,10,32.5360296752,-102.644139585774
2001,11,87.28771738311,-0.537726526851188
2001,12,0.086696584,-67.1817737628106
2002,1,29.05289166,-18.8687689398905
2002,2,118.08131087626,70.5002180590331
2002,3,193.5490261507,132.756575427406
2002,4,166.6278845897,24.7795286998046
2002,5,266.0860154167,-53.7329080364927
2002,6,293.7578069806,-110.399286439831
2002,7,176.965182019,-135.297813482207
2002,8,422.9359047152,149.152985814918
2002,9,189.3524553038,22.3243257204947
2002,10,475.1679085885,339.987739327526
2002,11,169.462780115,81.6373362050388
2002,12,66.059342694,-1.20912765281062
2003,1,38.945216656408,-8.97644394348247
2003,2,7.00048903102,-40.5806037862069
2003,3,25.6383671279,-35.1540835953939
2003,4,43.7697931212,-98.0785627686954
2003,5,99.6926248707,-220.126298582493
2003,6,683.6725783224,279.515484901969
2003,7,265.70380518,-46.5591903212068
2003,8,127.41066959,-146.372249310282
2003,9,233.0519147261,66.0237851427947
2003,10,144.1570949,8.9769256390264
2003,11,111.49834321,23.6728993000388
2003,12,104.9659788602,37.6975085133894
2004,1,5.7313587232454,-42.1903018766451
2004,2,21.948155253,-25.6329375642269
2004,3,94.17629905,33.3838483267061
2004,4,323.79186085,181.943504960105
2004,5,28.322518827451,-291.496404625742
2004,6,510.43143142,106.274337999569
2004,7,347.561873086,35.2988775847932
2004,8,116.174955837,-157.607963063282
2004,9,196.06447751364,29.0363479303347
2004,10,204.706723511,69.5265542500264
2004,11,156.9281798894,69.1027359794388
2004,12,45.9715346425,-21.2969357043106
2005,1,35.03684104,-12.8848195598905
2005,2,8.47605493,-39.1050378872269
2005,3,66.42026045939,5.62780973609613
2005,4,53.37740311988,-88.4709527700154
2005,5,638.07712099,318.258197536807
2005,6,547.600114386,143.443020965569
2005,7,307.050936575,-5.21205892620685
2005,8,439.041046549072,165.25812764879
2005,9,53.57240963,-113.455719953305
2005,10,44.0496177575,-91.1305515034736
2005,11,204.012203293,116.186759383039
2005,12,74.5346773595,7.26620701268936
2006,1,73.759950113848,25.8382895139575
2006,2,35.4108116378029,-12.170281179424
2006,3,60.699202706142,-0.0932480171518648
2006,4,193.7669814904,51.9186256005046
2006,5,217.47101892,-102.347904533193
2006,6,571.89779650151,167.740703081079
2006,7,553.831889522,241.568894020793
2006,8,355.2320258427,81.4491069424176
2006,9,192.40144447962,25.3733148963147
2006,10,195.429502249,60.2493329880264
2006,11,37.8929573644,-49.9324865455612
2006,12,147.13539908591,79.8669287390994
2007,1,32.5081172,-15.4135433998905
2007,2,76.62845713567,29.0473643184431
2007,3,33.8320761,-26.9603746232939
2007,4,157.84344962,15.9950937301046
2007,5,77.58935868911,-242.229564764083
2007,6,261.403478681,-142.753614739431
2007,7,367.864955192,55.6019596907932
2007,8,184.7170869566,-89.0658319436824
2007,9,87.46882145398,-79.5593081293253
2007,10,80.7574630802,-54.4227061807736
2007,11,20.96200431256,-66.8634395974012
2007,12,46.98869043,-20.2797799168106
2008,1,49.73439532409,1.81273472419953
2008,2,29.5479689889,-18.0331238283269
2008,3,14.402066613,-46.3903841102939
2008,4,105.66331634,-36.1850395498954
2008,5,515.787389717,195.968466263807
2008,6,223.620281213,-180.536812207431
2008,7,338.114049518389,25.8510540171822
2008,8,499.072450983,225.289532082718
2008,9,98.329321337,-68.6988082463053
2008,10,60.211808495,-74.9683607659736
2008,11,51.9638733954664,-35.8615705144948
2008,12,31.735533309827,-35.5329370369836
2009,1,12.9606687638,-34.9609918360905
2009,2,56.39330626029,8.81221344306308
2009,3,30.72877241931,-30.0636783039839
2009,4,99.5349611475,-42.3133947423954
2009,5,498.0990028356,178.280079382407
2009,6,320.73543116,-83.4216622604307
2009,7,190.1680749804,-122.094920520807
2009,8,421.12049337186,147.337574471578
2009,9,141.734670892,-25.2934586913053
2009,10,287.246520833,152.066351572026
2009,11,210.03626437471,122.210820464749
2009,12,54.9586139905,-12.3098563563106
2010,1,28.87223843937,-19.0494221605205
2010,2,69.65270669587,22.0716138786431
2010,3,54.7466392247,-6.04581149859386
2010,4,43.7148372169,-98.1335186729954
2010,5,111.9240132656,-207.894910187593
2010,6,419.475762753019,15.3186693325883
2010,7,318.1959292304,5.93293372919317
2010,8,282.17023985472,8.38732095443766
2010,9,39.8659482179,-127.162181365405
2010,10,103.80739462,-31.3727746409736
2010,11,84.49945019258,-3.32599371738118
2010,12,117.847928108,50.5794577611894
2011,1,119.10731531,71.1856547101095
2011,2,39.3575363699,-8.22355644732691
2011,3,77.3213322697,16.5288815464061
2011,4,205.9210886515,64.0727327616046
2011,5,74.4736091,-245.345314353193
2011,6,332.447172074,-71.7099213464307
2011,7,262.69411627,-49.5688792312068
2011,8,393.8942204,120.111301499718
2011,9,188.090439593,21.0623100096947
2011,10,30.8825249996,-104.297644261374
2011,11,86.563810386797,-1.26163352316418
2011,12,4.536264879,-62.7322054678106
2012,1,87.77367352,39.8520129201095
2012,2,180.1322262992,132.551133481973
2012,3,43.199553567,-17.5928971562939
2012,4,33.484917394,-108.363438495895
2012,5,337.4931031,17.6741796468073
2012,6,455.3970546887,51.2399612682693
2012,7,118.547899093414,-193.715096407793
2012,8,114.771415585,-159.011503315282
2012,9,81.78839109,-85.2397384933053
2012,10,77.84334888019,-57.3368203807836
2012,11,46.8229704327,-41.0024734772612
2012,12,229.314476746,162.046006399189
2013,1,24.2459639282938,-23.6756966715966
2013,2,72.244825332781,24.6637325155541
2013,3,30.972788402,-29.8196623212939
2013,4,86.5267393,-55.3216165898954
2013,5,339.791513301,19.9725898478073
2013,6,248.2046040071,-155.952489413331
2013,7,233.5701957087,-78.6927997925068
2013,8,302.7438000599,28.9608811596177
2013,9,209.65428426,42.6261546766947
2013,10,70.61931516,-64.5608541009736
2013,11,61.7078157457,-26.1176281642612
2013,12,7.374870491,-59.8935998558106
2014,1,73.12786486,25.2062042601095
2014,2,52.07776482813,4.49667201090308
2014,3,123.875897353,63.0834466297062
2014,4,102.26856850129,-39.5797873886054
2014,5,279.26479839205,-40.5541250611427
2014,6,421.281160375,17.1240669545693
2014,7,391.5072230346,79.2442275333931
2014,8,259.2399738472,-14.5429450530823
2014,9,306.80299239,139.774862806695
2014,10,98.2148543188,-36.9653149421736
2014,11,40.9937823756,-46.8316615343612
2014,12,37.955393562623,-29.3130767841876
2015,1,0.0048780603,-47.9167825395905
2015,2,2.24019625336,-45.3408965638669
2015,3,0.06747866328,-60.7249720600139
2015,4,77.574327002,-64.2740288878954
2015,5,247.8837878716,-71.9351355815927
2015,6,453.6862507208,49.5291573003693
2015,7,421.45621985661,109.193224355403
2015,8,412.37630837237,138.593389472088
2015,9,170.3727919228,3.3446623394947
2015,10,99.9678755687,-35.2122936922736
2015,11,41.915983652648,-45.9094602573132
